x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.49669,0.759133,0.563164,0.622169,0.595772,0.461503,0.603459,0.329106,0.584606,0.20356,0.50185,0.443675,0.615163,0.526858,0.669445,0.586594,0.686992,0.610927,0.44513,0.555223,0.627188,0.67699,0.654224,0.726671,0.637892,0.735436,0.415237,0.676491,0.602798,0.789547,0.608602,0.809288,0.569017,0.790533,0.399769,0.791329,0.555689,0.871912,0.572468,0.869116,0.539891,0.850773,Thumbs Up
0.489957,0.832926,0.565352,0.669278,0.601448,0.484351,0.608845,0.338422,0.590116,0.19539,0.502123,0.445928,0.629215,0.53893,0.676472,0.596389,0.683708,0.619102,0.448379,0.553723,0.645574,0.697893,0.654589,0.735791,0.621124,0.739644,0.418838,0.671261,0.61239,0.801304,0.607728,0.823558,0.561696,0.805687,0.403928,0.787375,0.568444,0.879366,0.571964,0.884271,0.528422,0.870459,Thumbs Up
0.495425,0.791002,0.566507,0.640709,0.601438,0.469045,0.610132,0.333112,0.589203,0.196463,0.508848,0.451686,0.647554,0.566022,0.67943,0.614148,0.668294,0.613521,0.454619,0.561929,0.65461,0.714145,0.651742,0.746768,0.60448,0.726813,0.423398,0.68175,0.613737,0.814888,0.608229,0.829118,0.561313,0.794748,0.40766,0.797107,0.564757,0.893067,0.569459,0.891967,0.526827,0.870145,Thumbs Up
0.501143,0.779467,0.570383,0.630262,0.608627,0.459495,0.617707,0.324387,0.597706,0.189124,0.522427,0.442032,0.660384,0.562684,0.683161,0.609083,0.669534,0.608522,0.467041,0.55092,0.66328,0.706054,0.655119,0.730314,0.612679,0.712793,0.435239,0.668696,0.623314,0.805688,0.609783,0.813637,0.564289,0.779409,0.419432,0.783023,0.576485,0.881699,0.57662,0.874057,0.535715,0.848776,Thumbs Up
0.503309,0.80474,0.57352,0.646817,0.608472,0.467169,0.616896,0.326262,0.599957,0.188253,0.516754,0.438838,0.641629,0.547717,0.683808,0.598317,0.689728,0.61119,0.463042,0.545727,0.655082,0.70313,0.657867,0.727255,0.622072,0.713554,0.432964,0.662278,0.620287,0.807225,0.614668,0.813698,0.573627,0.77722,0.419455,0.77535,0.580508,0.881343,0.583261,0.880401,0.542459,0.859292,Thumbs Up
0.501104,0.799059,0.571555,0.641151,0.608006,0.461983,0.617508,0.325335,0.598791,0.188436,0.516654,0.440871,0.645899,0.551826,0.680582,0.597293,0.674512,0.600391,0.461598,0.550347,0.657234,0.705677,0.65933,0.726488,0.616944,0.70531,0.43092,0.670188,0.620252,0.80685,0.617618,0.813036,0.574619,0.77851,0.417593,0.787501,0.580179,0.883178,0.588611,0.878721,0.550162,0.859137,Thumbs Up
0.504,0.835344,0.576147,0.666147,0.609965,0.475231,0.615351,0.328933,0.594203,0.188698,0.512263,0.437796,0.632375,0.529843,0.686562,0.588552,0.701113,0.607482,0.45916,0.546108,0.655043,0.690834,0.666979,0.737835,0.632845,0.740368,0.429983,0.665538,0.620805,0.798797,0.623153,0.823558,0.582111,0.801934,0.416503,0.783709,0.581372,0.876932,0.594861,0.884688,0.558476,0.872324,Thumbs Up
0.50347,0.825337,0.579982,0.662983,0.612126,0.475173,0.616469,0.329133,0.597345,0.188459,0.512763,0.436841,0.624091,0.512983,0.694754,0.582468,0.727845,0.620054,0.458848,0.539742,0.648067,0.680238,0.672444,0.729969,0.650912,0.738445,0.430873,0.658845,0.616322,0.789552,0.62753,0.813391,0.595001,0.795447,0.418211,0.774434,0.573877,0.873093,0.591662,0.878881,0.561116,0.864722,Thumbs Up
0.514788,0.798277,0.587188,0.642042,0.615252,0.464116,0.618126,0.323911,0.598237,0.186691,0.514851,0.431985,0.627504,0.510897,0.699587,0.581397,0.733174,0.619857,0.460888,0.536545,0.646448,0.67233,0.677618,0.724261,0.660812,0.733801,0.43309,0.657133,0.61429,0.784198,0.633002,0.807265,0.605132,0.789227,0.420938,0.772542,0.569614,0.86769,0.594254,0.871496,0.569241,0.856524,Thumbs Up
0.51088,0.783635,0.584582,0.632048,0.614876,0.460173,0.620212,0.324661,0.598544,0.188536,0.518854,0.436146,0.642887,0.540358,0.69186,0.594172,0.701015,0.600708,0.464942,0.541528,0.649736,0.686473,0.666212,0.723177,0.638094,0.709203,0.43475,0.660144,0.614782,0.788823,0.619213,0.804326,0.580678,0.770805,0.420535,0.774249,0.566093,0.867368,0.577861,0.866534,0.543088,0.843063,Thumbs Up
